nct_id,id,name
NCT04668339,11466359,singapore
NCT04668339,11466360,united states
NCT04668313,11466362,united kingdom
NCT04668235,11466367,brazil
NCT04668222,11466368,hong kong
NCT04668209,11466369,united states
NCT04668196,11466370,spain
NCT04668170,11466372,france
NCT04667962,11466384,france
NCT04667936,11466385,germany
NCT04667923,11466386,russian federation
NCT04667780,11466395,pakistan
NCT04667442,11466412,united states
NCT04667247,11466421,united states
NCT04666779,11466449,spain
NCT04666753,11466450,spain
NCT04666597,11466456,argentina
NCT04666597,11466457,brazil
NCT04666597,11466458,colombia
NCT04666597,11466459,dominican republic
NCT04666597,11466460,france
NCT04666597,11466461,mexico
NCT04666597,11466462,netherlands
NCT04666597,11466463,peru
NCT04666597,11466464,portugal
NCT04666597,11466465,russian federation
NCT04666597,11466466,united kingdom
NCT04666597,11466467,united states
NCT04666597,11466468,uruguay
NCT04666558,11466470,canada
NCT04666493,11466474,canada
NCT04666441,11466475,united states
NCT04666311,11466484,lesotho
NCT04666311,11466485,south africa
NCT04666285,11466486,united kingdom
NCT04666246,11466488,italy
NCT04666207,11466490,denmark
NCT04666116,11466496,spain
NCT04666064,11466500,france
NCT04666025,11466501,united states
NCT04666012,11466502,korea
NCT04665778,11466528,france
NCT04665258,11466555,united states
NCT04665245,11466556,united states
NCT04665193,11466561,canada
NCT04665115,11466567,united states
NCT04664101,11466633,united states
NCT04664075,11466635,united kingdom
NCT04664049,11466636,taiwan
NCT04664023,11466638,france
NCT04664010,11466639,china
NCT04663776,11466651,united states
NCT04663659,11466659,turkey
NCT04663594,11466664,united kingdom
NCT04662684,11466728,brazil
NCT04662437,11466740,turkey
NCT04662021,11466766,egypt
NCT04661930,11466772,israel
NCT04661813,11466789,united states
NCT04661631,11466799,colombia
NCT04661540,11466804,united states
NCT04661527,11466805,spain
NCT04661462,11466808,austria
NCT04661423,11466809,france
NCT04661410,11466810,united states
NCT04661189,11466826,canada
NCT04660422,11466894,united states
NCT04659941,11466939,brazil
NCT04659928,11466940,united states
NCT04659889,11466943,united kingdom
NCT04659876,11466944,turkey
NCT04659772,11466949,united states
NCT04659759,11466950,united states
NCT04659746,11466951,paraguay
NCT04659486,11466967,brazil
NCT04659473,11466968,spain
NCT04659356,11466975,france
NCT04659200,11466985,turkey
NCT04659187,11466986,germany
NCT04659135,11466991,united states
NCT04658979,11467000,canada
NCT04658433,11467050,jordan
NCT04657510,11467106,italy
NCT04657497,11467107,japan
NCT04657484,11467108,india
NCT04657471,11467109,france
NCT04657445,11467110,greece
NCT04657263,11467128,france
NCT04656691,11467183,united states
NCT04656626,11467186,saudi arabia
NCT04655638,11467259,italy
NCT04655612,11467261,france
NCT04655521,11467268,germany
NCT04654481,11467359,united states
NCT04654416,11467363,colombia
NCT04653857,11467396,france
NCT04653844,11467397,france
NCT04653831,11467398,israel
NCT04652674,11467470,united states
NCT04652648,11467471,united states
NCT04652518,11467479,romania
NCT04652518,11467480,united states
NCT04652505,11467481,united states
NCT04652115,11467504,united states
NCT04652102,11467505,belgium
NCT04652102,11467506,germany
NCT04652102,11467507,netherlands
NCT04651959,11467514,turkey
NCT04651413,11467545,united kingdom
NCT04651400,11467546,austria
NCT04651400,11467547,france
NCT04651400,11467548,germany
NCT04651374,11467549,canada
NCT04650191,11467614,united states
NCT04650178,11467615,united states
NCT04650035,11467624,jordan
NCT04649996,11467627,italy
NCT04649957,11467629,united kingdom
NCT04649944,11467630,italy
NCT04649931,11467631,germany
NCT04649879,11467635,sweden
NCT04649840,11467637,belarus
NCT04649827,11467638,brazil
NCT04649736,11467643,peru
NCT04649658,11467647,italy
NCT04649515,11467657,singapore
NCT04649424,11467662,canada
NCT04649333,11467667,austria
NCT04649320,11467668,austria
NCT04648800,11467705,poland
NCT04648709,11467710,france
NCT04647994,11467758,brazil
NCT04647734,11467771,denmark
NCT04647695,11467777,hong kong
NCT04647669,11467779,jamaica
NCT04647656,11467780,israel
NCT04647604,11467783,sweden
NCT04646655,11467841,italy
NCT04646616,11467843,united states
NCT04646525,11467847,turkey
NCT04646421,11467854,sweden
NCT04646109,11467876,turkey
NCT04646044,11467881,united states
NCT04646031,11467882,united states
NCT04645563,11467912,turkey
NCT04645433,11467919,turkey
